ID,Warehouse_block ,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered,Weight_in_gms,Reached.on.Time_Y.N
59,B, Road,5,4,212,2,low,F,,4925,0
60,A, Road,4,3,246,6,low,F,10,1176,0
61,D,?,6,1,246,3,medium,M,7,4733,1
62,A, Ship,4,2,154,2,medium,F,,4705,1
63,B, Ship,3,2,203,3,high,M,,2791,1
64,B, Ship,,4,296,4,low,F,,1717,1
65,D, Ship,4,3,185,3,medium,M,,3131,1
66,D, Ship,4,1,249,6,medium,M,,?,1
67,D, Road,5,4,269,,medium,M,15,2522,1
68,A,?,3,2,213,6,medium,M,,?,1
69,C, Ship,,3,263,4,medium,M,23,2960,1
70,A, Road,,1,142,4,medium,F,2,4735,1
71,F, Ship,,2,134,3,low,M,38,1352,1
72,C, Ship,,4,267,3,?,M,,5254,0
73,D, Ship,3,2,164,2,medium,M,,4442,1
74,F, Ship,3,3,178,2,medium,M,,1778,1
75,F, Ship,3,1,166,3,medium,M,9,4410,0
76,F, Ship,3,5,222,2,low,M,9,1321,0
77,C, Ship,3,1,268,3,low,F,,2479,1
78,F, Flight,4,5,232,3,?,F,32,3253,1
79,D, Road,6,5,278,4,medium,F,,1140,0
80,F, Ship,3,1,141,2,low,F,,1297,1
81,F, Ship,5,5,140,8,medium,M,,4793,1
82,A,?,4,1,241,4,medium,M,5,5080,0
83,A, Ship,,1,105,6,medium,M,62,?,1
84,F, Flight,4,3,197,5,low,F,,4209,1
85,F, Road,4,1,160,,medium,M,1,5741,1
86,B, Ship,3,5,193,3,medium,F,,5817,0
87,D, Ship,,4,231,3,medium,M,39,3792,1
88,F, Ship,3,4,195,,medium,F,,4031,0
89,F, Ship,5,1,237,4,low,M,,2605,1
90,F, Ship,7,2,305,4,medium,M,7,1813,0
91,C, Ship,,2,189,6,low,M,,?,0
92,C, Ship,5,3,210,6,low,M,,4203,1
93,C, Ship,4,4,140,8,medium,F,2,5481,0
94,C, Ship,4,5,221,10,high,M,,4646,0
95,D, Ship,6,4,138,3,medium,F,,4225,0
96,B, Ship,2,3,226,3,medium,M,8,5106,1
97,F, Road,6,1,253,,low,M,,1962,0
98,B,?,,3,151,3,medium,F,,4025,1
99,D, Ship,7,4,309,4,low,M,,1880,0
100,F, Ship,4,4,255,2,medium,M,29,2267,1
101,F, Ship,3,5,152,4,medium,M,,4809,0
102,F, Ship,3,4,186,2,medium,F,9,5841,0
103,F, Ship,3,5,224,2,low,M,,3891,1
104,C, Ship,,5,136,2,medium,M,4,5512,0
105,D, Road,3,1,224,,low,F,45,3624,1
106,B,?,3,1,244,3,medium,F,1,5695,1
107,F, Ship,5,1,252,3,medium,M,2,4339,0
108,C, Road,5,2,222,3,medium,M,10,5644,1
109,D,?,3,2,111,2,low,F,4,4245,1
110,D, Flight,5,1,189,3,medium,F,14,?,1
111,A, Ship,5,2,248,8,low,F,10,4583,0
112,C, Ship,3,2,9999,4,medium,F,,1322,1
113,D, Road,3,4,202,5,high,M,,4632,0
114,A, Road,6,3,241,6,high,F,8,3878,1
115,F, Ship,,1,152,3,high,M,,1464,1
116,B, Ship,5,4,231,6,medium,F,3,1075,0
117,F, Ship,4,5,174,2,low,M,10,5764,0
118,A, Ship,5,2,146,3,low,F,,4725,0
119,D, Road,5,3,222,6,low,M,,1656,0
120,F, Road,5,5,272,2,low,F,4,5342,0
121,D, Ship,3,2,182,2,low,M,,4391,1
122,F, Flight,,4,181,3,low,M,10,5276,1
123,C, Ship,2,2,173,,medium,M,,1575,1
124,F, Ship,,5,242,2,medium,F,,4806,1
125,A, Ship,,2,294,4,low,M,,1265,1
126,F, Ship,,5,139,4,medium,M,,1265,1
127,F, Ship,3,3,198,2,low,M,,4996,1
128,F, Flight,,2,203,,low,F,,5296,1
129,C, Ship,4,1,269,3,low,F,7,5211,1
130,A, Ship,6,2,269,4,medium,F,3,1665,0
131,B, Ship,5,1,232,3,low,F,10,1014,1
132,D, Flight,5,1,255,4,medium,M,9,?,1
133,C, Flight,,1,161,2,high,F,,?,1
134,C, Ship,,5,141,2,low,M,1,4395,1
135,D, Ship,3,3,208,5,low,F,,4258,0
136,F, Ship,7,1,301,4,low,F,6,1052,1
137,D, Ship,,3,197,2,low,F,,3400,1
138,A, Ship,,3,178,3,medium,F,,4451,1
139,B, Road,5,3,270,5,medium,M,9,1764,1
140,F, Flight,5,2,130,4,medium,F,1,1877,0
141,D,?,3,5,286,6,high,M,8,4777,0
142,D, Ship,,3,269,2,medium,M,,4158,0
143,A, Ship,3,4,254,3,medium,M,6,5716,0
144,C, Ship,,4,259,2,medium,M,,2132,1
145,F, Ship,4,5,160,3,medium,M,,?,1
146,D, Road,5,2,236,,low,M,,3679,1
147,C, Ship,3,3,250,5,medium,M,,?,1
148,F, Ship,2,4,226,3,low,M,,4098,1
149,F, Ship,3,2,197,4,medium,M,1,5210,1
150,B, Ship,5,2,223,,?,M,,1232,1
151,A, Ship,3,4,242,10,high,M,5,4127,0
152,F, Ship,,4,189,3,high,M,,5464,0
153,F, Ship,3,3,183,3,low,F,,?,0
154,C, Flight,3,1,185,,medium,F,,4316,0
155,D, Ship,,5,169,4,low,F,,4213,0
156,C,?,3,2,208,4,medium,M,52,2900,1
157,A, Road,,5,148,8,medium,M,,5700,0
158,D, Ship,4,1,161,2,high,F,41,1992,1
159,F, Ship,4,2,236,3,low,M,4,?,0
160,B, Road,4,1,158,3,low,F,32,1061,1
161,B, Ship,3,5,243,3,medium,M,4,3189,1
162,C, Flight,4,3,262,4,high,F,2,4783,1
163,D,?,3,2,201,4,medium,M,10,5565,0
164,F, Road,4,1,207,2,low,M,,3242,1
165,F, Ship,2,1,222,2,medium,M,58,3626,1
166,F, Ship,2,5,148,3,high,F,11,1502,1
167,C, Road,,2,268,3,medium,M,1,4927,0
168,B, Flight,4,4,229,2,medium,M,45,3776,1
169,B, Flight,4,2,199,3,low,M,23,2994,1
170,F, Road,4,4,164,4,medium,F,1,4365,1
171,F, Ship,5,5,226,3,low,M,50,2348,1
172,C, Ship,,2,156,3,low,F,1,5361,0
173,C, Ship,5,5,254,5,low,F,2,4426,0
174,F, Road,3,2,145,2,low,M,,4409,0
175,A,?,4,5,150,,low,M,5,4512,0
176,F, Ship,5,5,132,,low,F,,4339,1
177,F, Flight,5,1,137,,low,F,,4584,0
178,F, Ship,3,2,199,3,medium,F,,5768,1
179,B, Road,2,2,148,3,high,F,35,1349,1
180,F, Road,7,1,276,4,low,F,8,1560,1
181,F, Ship,,1,146,3,medium,M,,1714,1
182,A, Road,3,1,139,3,low,F,4,4666,0
183,C, Road,6,2,286,4,low,F,,?,1
184,F, Ship,4,3,254,4,low,M,,4492,0
185,A, Ship,4,1,256,4,medium,F,,5324,0
186,B, Ship,,1,138,2,low,M,28,1528,1
187,B, Ship,3,5,262,2,?,F,,3275,1
188,B, Ship,3,3,148,2,low,M,,1950,1
189,A,?,6,5,290,,medium,M,,1867,1
190,F, Ship,4,3,200,,medium,M,,5108,0
191,D,?,4,3,258,,low,F,,?,0
192,D, Ship,4,3,170,2,low,M,3,4587,1
193,F, Ship,3,3,152,2,low,M,32,1665,1
194,B, Ship,4,5,227,5,low,F,,1804,1
195,D, Ship,,3,174,3,low,F,,1502,1
196,D, Ship,3,3,239,6,low,M,7,4501,1
197,D, Ship,3,5,197,3,medium,F,2,4018,1
198,B, Ship,6,5,301,4,low,F,,1707,1
199,F, Ship,3,3,240,3,low,F,4,5056,1
200,B, Ship,5,4,258,,low,F,8,4200,0
201,B, Flight,2,5,157,6,high,F,17,1764,1
202,A, Ship,3,5,222,4,medium,F,9,4247,0
203,D, Ship,2,2,237,5,low,F,6,4622,1
204,A, Ship,3,1,165,3,low,F,1,1417,1
205,F, Road,4,5,252,2,high,F,,4147,1
206,B,?,,2,242,,medium,M,6,4694,0
207,F,?,,3,133,2,low,F,,4195,0
208,D, Flight,,1,184,2,low,F,31,3191,1
209,B, Ship,,3,202,3,medium,F,35,3986,1
210,F, Ship,,5,156,2,medium,F,8,5848,0
211,B, Ship,,1,242,3,medium,F,,3606,1
212,D, Road,5,2,225,,medium,F,29,2411,1
213,C, Ship,4,5,270,2,low,F,,2821,1
214,D, Road,4,5,180,3,medium,F,,5088,0
215,F,?,4,3,253,5,low,M,,1366,1
216,F, Flight,3,3,161,3,low,F,24,1920,1
217,C, Ship,3,4,175,2,medium,M,,?,1
218,B, Road,3,2,170,2,low,M,2,4214,1
219,B, Ship,,4,226,6,low,M,,1327,0
220,C, Ship,,3,262,4,low,F,1,1384,1
221,A, Ship,5,5,134,2,medium,M,,1785,1
222,D, Road,2,1,154,3,medium,F,4,5100,0
223,A, Road,,2,233,7,medium,F,5,5361,0
224,C, Ship,2,5,181,5,medium,F,5,1043,0
225,A, Ship,,2,228,3,medium,F,4,4208,0
226,C, Flight,6,1,215,4,low,M,1,4581,1
227,F, Ship,3,4,148,5,medium,F,,1540,1
228,F,?,4,2,161,3,low,F,8,4382,0
229,F, Flight,3,5,173,2,low,M,14,1638,1
230,D, Ship,4,3,223,3,medium,F,9,5897,0
231,C, Ship,3,2,225,3,low,M,,5529,0
232,B, Ship,3,2,166,2,medium,M,6,4765,0
233,C, Ship,3,3,200,3,low,M,4,3791,1
234,C, Flight,,5,255,4,low,F,,2093,1
235,C, Road,6,1,246,4,medium,M,,1504,1
236,F, Ship,4,2,184,,medium,F,10,5959,0
237,F, Ship,4,5,246,6,low,M,64,2271,1
238,F, Ship,5,1,258,,medium,F,,3713,1
239,D, Ship,,4,263,2,high,F,8,4914,0
240,A, Flight,,5,289,4,low,M,,1385,0
241,A, Ship,4,5,247,5,low,M,9,1499,0
242,D, Road,4,4,209,3,medium,F,52,2740,1
243,F, Road,3,5,170,3,low,F,,5064,0
244,B, Road,3,4,172,10,high,M,,4883,0
245,D, Ship,,3,191,3,high,F,45,3714,1
246,B, Ship,3,3,148,5,medium,M,61,1452,1
247,D, Ship,,4,177,2,low,M,,5618,1
248,F, Ship,5,3,208,3,medium,M,,3884,1
249,F, Road,5,3,277,3,medium,M,1,?,1
250,B, Ship,,1,275,3,medium,F,7,5382,1
251,A, Ship,4,2,137,2,medium,F,2,5804,1
252,C, Ship,2,5,190,8,medium,M,,2976,1
253,F,?,4,4,282,6,medium,F,52,3009,1
254,D, Flight,3,3,199,3,medium,F,,4006,1
255,C,?,3,2,163,3,medium,M,,4323,0
256,F, Ship,5,3,243,3,medium,F,,4524,1
257,C, Ship,5,2,266,10,high,M,9,4784,1
258,D, Ship,3,4,190,7,medium,F,51,2391,1
259,F, Ship,,1,206,3,medium,M,28,?,1
260,F, Ship,4,3,254,5,low,F,,1248,0
261,F, Ship,,1,217,3,medium,M,,2692,1
262,D, Ship,3,4,140,2,medium,M,48,1102,1
263,C, Ship,3,1,220,,medium,F,6,5319,0
264,A, Flight,4,5,154,3,medium,F,9,5208,0
265,A, Ship,4,5,145,,low,F,2,4686,1
266,D, Ship,4,1,252,3,medium,F,,2669,1
267,F, Ship,4,2,223,3,high,M,,4282,0
268,F, Flight,3,2,219,,low,F,6,4314,1
269,D, Flight,4,2,136,3,low,F,65,1962,1
270,D, Road,3,3,218,2,medium,M,,2069,1
271,A, Ship,5,2,246,5,low,F,,1072,1
272,F, Road,5,1,217,2,low,F,9,4345,0
273,B, Ship,4,3,198,7,medium,F,,5315,0
274,F, Flight,4,5,187,2,low,M,,4316,1
275,C, Ship,3,3,157,4,low,F,2,5715,1
276,F, Ship,3,4,148,4,high,F,,4249,0
277,A, Ship,6,5,298,4,medium,F,5,1804,0
278,F, Ship,4,2,197,2,low,F,1,4977,0
279,F, Flight,5,4,197,4,low,F,40,3303,1
280,F, Ship,3,3,162,3,medium,M,,1901,1
281,F, Flight,2,4,274,,high,M,,4167,1
282,F, Ship,2,1,163,,medium,F,,1119,1
283,F, Flight,5,1,198,2,medium,F,,3025,1
284,F,?,7,4,270,4,medium,F,5,1735,0
285,C, Ship,,2,142,10,high,F,,4280,1
286,A, Flight,4,3,169,6,medium,M,,5957,1
287,D,?,,5,182,,low,F,9,5388,0
288,D, Flight,7,3,295,,low,F,,1235,0
289,F, Road,,5,234,2,medium,F,1,4455,1
290,A, Ship,3,2,255,2,low,M,18,3732,1
291,A, Flight,,3,176,3,medium,M,14,1705,1
292,D, Road,4,4,164,2,low,F,,1949,1
293,D, Road,,2,245,3,low,F,61,2188,1
294,A, Ship,3,1,171,2,low,M,34,1999,1
295,C, Ship,3,5,175,,low,F,40,1460,1
296,A, Flight,4,2,238,2,medium,F,9,4937,0
297,A, Ship,5,2,269,5,medium,F,10,1113,1
298,A, Ship,3,5,143,2,low,F,,4253,0
299,B, Ship,4,5,189,,medium,M,6,5439,1
300,C, Ship,,2,158,,medium,M,,4881,0
301,B, Flight,,3,248,5,low,M,,1093,0
302,F, Ship,5,1,186,10,low,M,64,2529,1
303,F, Ship,4,5,237,5,low,M,,1357,1
304,D, Road,3,4,134,3,medium,F,9,4230,1
305,F, Ship,4,2,265,4,medium,M,,4283,1
306,D, Flight,5,3,274,,medium,M,,1293,0
307,F, Ship,3,1,182,2,low,F,,5510,1
308,C, Ship,5,2,121,5,medium,F,10,4790,0
309,C, Ship,5,3,143,3,low,M,6,4761,1
310,B, Ship,4,2,190,5,high,F,38,3022,1
311,A, Flight,5,1,274,,medium,M,,2098,1
312,A, Flight,3,5,265,10,low,M,6,4380,0
313,C, Road,5,5,259,3,medium,F,,4315,0
314,F, Ship,3,3,112,4,low,F,,5716,1
315,B, Ship,,4,207,10,low,F,1,4602,0
316,F, Flight,3,5,125,2,low,F,2,4182,1
317,D, Road,2,3,128,2,medium,F,,1530,1
318,F, Road,2,1,178,3,low,M,6,1184,1
319,A, Ship,6,1,232,5,high,M,,4345,0
320,F, Flight,4,1,102,,medium,M,,4179,0
321,D, Road,3,5,268,4,high,M,,2893,1
322,F, Ship,,1,193,6,medium,F,4,5964,0
323,A, Ship,5,1,132,4,medium,F,,5461,0
324,D, Ship,3,2,226,3,low,M,11,3708,1
325,F,?,3,2,209,2,low,M,,5713,0
326,F, Flight,5,4,97,3,medium,F,,4577,0
327,A, Ship,5,4,231,5,low,M,,1247,0
328,F, Ship,4,5,156,3,low,F,,1836,1
329,A, Flight,,2,184,4,low,M,,4155,1
330,B, Ship,4,2,204,3,medium,M,,3829,1
331,F, Road,3,4,200,3,low,F,7,5400,0
332,F, Ship,3,3,249,3,low,M,55,3375,1
333,F, Ship,3,4,186,,medium,F,,5501,1
334,F, Ship,4,2,194,8,medium,M,,5995,0
335,C,?,3,3,232,2,medium,F,,5544,1
336,F,?,6,3,178,5,low,F,,?,0
337,C, Ship,3,1,211,3,medium,M,1,4889,1
338,F, Ship,5,5,266,5,medium,M,7,1440,0
339,C, Flight,,3,123,5,medium,F,,4292,0
340,F, Ship,6,3,136,3,low,F,,?,0
341,F, Road,3,1,160,2,low,F,,5642,1
342,B, Ship,3,5,274,3,low,F,3,5156,0
343,B, Ship,4,3,203,2,low,M,,5597,0
344,F,?,,1,307,,low,M,,1983,0
345,C, Flight,4,4,140,3,medium,F,4,1467,1
346,A, Ship,4,1,144,4,low,M,8,4970,0
347,C, Ship,4,2,273,2,low,F,,5608,1
348,F, Ship,4,3,163,,low,M,52,1891,1
349,F, Ship,,3,164,4,medium,M,,4257,0
350,D, Road,,4,271,6,high,M,3,5204,0
351,F, Ship,,3,212,4,low,M,28,2422,1
352,D, Ship,5,4,259,5,low,F,4,1991,1
353,B, Ship,5,3,262,5,low,F,10,1197,1
354,C, Ship,5,2,265,3,low,M,8,5447,1
355,A, Flight,6,3,266,4,medium,F,,1547,0
356,C, Ship,3,4,267,,low,M,9,5940,0
357,A, Road,3,1,149,3,medium,F,,5952,1
358,B, Ship,4,5,233,4,low,F,,4705,1
359,C, Ship,5,3,243,5,low,F,9,1312,1
360,D,?,,1,152,2,medium,F,2,4136,0
361,D, Ship,3,3,149,4,low,F,,5282,0
362,F, Ship,3,1,181,3,medium,M,,3266,1
363,F, Flight,,5,159,2,low,M,,5671,0
364,C, Ship,4,4,249,10,medium,F,,4190,0
365,B, Ship,5,3,230,3,medium,F,3,2923,1
366,F, Road,4,3,237,,medium,M,22,2912,1
367,A, Ship,4,4,154,3,low,F,,4106,1
368,A, Ship,4,1,200,4,medium,M,,5837,0
369,D, Ship,3,5,257,3,low,F,,?,1
370,F,?,5,2,167,4,low,M,10,4325,0
371,F, Ship,3,5,174,6,low,M,,5713,0
372,F, Ship,,3,221,2,medium,F,,3120,1
373,D, Ship,4,3,275,10,medium,M,,2093,1
374,B, Flight,3,2,267,,low,M,8,?,0
375,A, Road,5,4,243,5,low,F,,1118,0
376,A,?,,1,271,5,low,M,,1353,0
377,F, Flight,4,4,203,3,medium,M,8,4443,0
378,B, Flight,4,1,254,7,low,M,5,4104,1
379,D, Ship,3,2,132,3,low,F,56,1303,1
380,F, Ship,5,3,225,3,medium,M,,2270,1
381,B, Road,5,4,249,3,high,F,2,4397,1
382,F, Flight,4,2,201,8,medium,F,6,5128,0
383,F, Road,4,4,174,3,low,M,49,1141,1
384,F, Ship,,2,146,2,medium,M,4,4348,1
385,B, Ship,4,2,266,,medium,M,,5121,0
386,C, Ship,5,5,172,2,medium,F,,1446,1
387,C, Ship,3,3,207,3,low,F,,3277,1
388,F, Ship,,5,198,2,medium,M,,2820,1
389,A,?,,4,143,5,high,F,,1027,1
390,D, Ship,6,3,98,3,low,F,,4651,1
391,F, Ship,,1,112,,medium,M,9,5248,1
392,A, Ship,6,4,287,4,medium,M,7,1141,1
393,A, Ship,4,5,243,3,low,F,,4909,0
394,A, Flight,3,5,223,4,high,F,,5042,1
395,F, Ship,3,4,148,3,low,F,,5267,1
396,D, Road,4,2,149,,low,F,,4904,0
397,D, Ship,4,2,220,3,low,M,,5020,0
398,A, Ship,4,4,224,,high,M,,3145,1
399,A, Road,3,3,256,4,medium,M,3,?,0
400,F, Flight,,1,140,2,low,F,,?,1
401,B, Ship,4,2,200,,medium,M,45,?,1
402,A, Ship,3,3,166,3,high,M,,5089,1
403,F, Road,3,2,220,,medium,M,,4555,1
404,F, Ship,3,2,238,2,low,M,,2196,1
405,F, Ship,,3,192,2,low,F,,2621,1
406,C, Flight,,2,240,8,low,F,9,4908,0
407,A, Ship,4,1,216,3,low,F,,?,1
408,F, Road,5,1,215,,low,M,,4700,0
409,C, Flight,6,3,269,4,low,F,,1948,1
410,A, Road,3,1,180,3,high,F,21,1047,1
411,A, Ship,3,5,185,2,medium,M,27,3624,1
412,D, Ship,3,3,245,2,medium,F,,2577,1
413,F,?,3,1,121,5,low,M,,1505,1
414,D, Ship,5,1,184,3,low,F,,4674,1
415,D, Flight,4,4,210,2,high,M,,?,0
416,C, Flight,,3,214,2,medium,F,4,3754,1
417,F, Ship,4,1,239,5,low,F,1,1780,1
418,F, Shipzk,,5,178,3,low,F,7,?,0
419,F, Ship,6,2,204,4,medium,F,,4431,0
420,F, Ship,5,1,247,5,medium,F,,1842,1
421,D, Ship,,3,249,2,medium,M,3,4440,0
422,B, Ship,,4,151,3,medium,F,3,4938,0
423,B, Ship,3,4,215,3,high,F,5,4670,1
424,D,?,4,4,146,2,medium,F,,4356,0
425,F,?,3,3,150,3,medium,M,,5536,0
426,C, Flight,6,5,253,4,medium,M,,1977,0
427,D, Flight,,2,205,3,low,F,2,4270,0
428,D, Road,5,5,253,6,low,F,1,1300,0
429,F, Ship,3,3,188,4,medium,M,1,4296,1
430,F, Flight,3,4,143,3,low,M,,5261,0
431,F, Ship,3,4,177,4,medium,F,,1148,0
432,C, Flight,5,5,103,6,medium,F,2,4860,0
433,F, Ship,4,3,136,3,medium,M,20,1531,1
434,A, Ship,5,4,187,,low,F,53,3172,1
435,F, Ship,3,3,222,4,low,F,6,5284,1
436,D, Ship,2,3,224,,low,F,5,5050,0
437,C, Ship,4,4,245,2,low,F,,4297,1
438,B, Road,,5,176,3,high,F,1,5096,1
439,D, Ship,3,4,148,3,medium,M,7,4531,0
440,A, Ship,5,3,222,3,low,F,6,4744,1
441,A, Ship,3,3,274,3,medium,M,3,5157,0
442,F, Ship,3,2,134,,medium,F,3,5232,0
443,F, Ship,5,5,166,3,medium,F,,1267,1
444,D, Ship,4,3,239,3,low,M,10,4020,0
445,A, Flight,4,3,201,3,medium,F,,2487,1
446,D, Ship,6,2,256,4,low,F,6,1507,0
447,A, Flight,6,2,290,4,medium,F,9,1339,0
448,A, Ship,5,1,236,,medium,F,,1705,0
449,A, Ship,3,2,224,3,medium,M,,5869,0
450,C, Ship,5,4,243,3,low,F,,2899,1
451,C, Ship,,1,180,3,medium,M,27,1551,1
452,B, Flightzk,2,4,181,4,medium,M,13,2309,1
453,D, Flight,,4,225,2,high,M,5,5997,0
454,F, Road,4,4,280,3,medium,M,5,5624,0
455,D, Ship,4,2,217,,low,M,1,3133,1
456,F, Ship,3,5,147,3,low,F,,5042,0
457,D, Ship,6,3,281,3,medium,M,,2135,1
458,F, Ship,3,3,167,3,?,F,,1363,1
459,F, Ship,3,1,132,3,medium,F,5,5978,0
460,B, Ship,,2,275,6,medium,M,9,1890,0
461,A, Flight,3,1,104,4,low,F,9,5211,1
462,C, Ship,,3,262,,low,F,,?,0
463,F, Flight,4,1,259,7,medium,F,,5102,0
464,D, Ship,6,5,298,4,low,M,3,1009,1
465,B, Ship,3,4,273,2,medium,F,5,5223,0
466,F, Ship,6,1,275,4,low,F,,1228,0
467,A, Road,4,1,205,5,low,M,10,4944,0
468,A, Road,4,1,228,3,low,F,,4678,0
469,F, Ship,2,1,111,2,high,F,10,1920,1
470,F,?,5,1,221,6,medium,F,7,1841,1
471,F,?,3,5,197,,low,M,4,5423,0
472,F, Ship,4,5,254,3,low,M,,4377,1
473,F, Ship,5,3,236,4,medium,M,7,4308,0
474,D, Ship,4,5,209,3,medium,F,4,4809,0
475,F, Road,3,4,159,3,high,M,4,4756,1
476,F, Ship,4,4,247,3,high,F,2,5324,1
477,A, Road,5,1,135,3,low,M,3,4939,1
478,F,?,5,3,237,4,low,F,8,5432,0
479,C, Road,6,5,263,7,high,M,,5991,1
480,F, Road,5,1,268,3,medium,F,,5663,0
481,A, Ship,3,3,206,,low,F,,5746,1
482,C, Ship,6,2,266,4,low,F,,1220,0
483,D, Ship,,4,218,2,low,M,,?,0
484,A, Ship,6,4,250,4,low,M,,1969,1
485,D, Ship,,1,247,6,low,M,,1349,1
486,D, Ship,,5,255,,medium,M,5,1458,1
487,D, Ship,,5,272,2,medium,M,,5055,1
488,C, Flight,,3,310,4,medium,F,8,1497,0
489,C, Ship,3,2,227,3,medium,M,,5058,0
490,C, Ship,5,4,185,4,medium,M,,3565,1
491,F, Ship,,1,150,2,low,F,6,5697,0
492,F, Ship,6,2,304,4,medium,F,,1983,1
493,F, Ship,,5,258,3,low,M,,3033,1
494,F, Ship,6,4,292,4,low,M,,1056,1
495,F, Ship,5,2,250,3,medium,F,6,?,0
496,C, Road,3,4,256,,medium,M,,2247,1
497,C, Ship,,4,261,5,low,M,6,1334,0
498,D, Ship,3,3,160,4,medium,M,58,1496,1
499,B, Ship,4,4,185,3,low,M,13,2080,1
500,F, Ship,5,1,193,2,low,M,,?,0
501,F, Flight,4,4,146,2,low,M,52,1459,1
502,A, Ship,,4,147,5,medium,F,,1886,1
503,F, Road,5,4,157,4,low,F,,1951,1
504,B, Flight,3,4,200,4,medium,F,8,4944,0
505,C, Ship,,4,151,3,low,M,2,5712,1
506,C, Ship,,1,271,5,low,F,,1557,1
507,A, Ship,3,3,132,2,medium,M,,4687,0
508,F, Ship,3,3,148,4,low,F,,5557,0
509,F, Ship,2,1,111,2,low,F,,4296,1
510,D, Ship,4,1,184,7,medium,F,6,4956,0
511,A, Ship,6,2,309,4,medium,F,8,1289,1
512,C,?,7,5,256,4,medium,M,,1139,1
513,A, Road,3,3,237,3,medium,M,,4918,0
514,A, Flight,4,1,179,2,medium,F,7,4605,0
515,D, Ship,4,2,133,6,medium,F,9,4879,0
516,F,?,3,4,176,3,medium,M,,5623,0
517,A, Ship,3,5,192,2,low,F,7,5069,1
518,F, Ship,5,1,179,2,low,F,,5417,0
519,A, Ship,,4,234,2,medium,M,,3108,1
520,D, Road,5,5,207,2,high,M,,5066,1
521,F, Flight,6,1,309,4,low,F,,1866,1
522,A, Flight,4,2,187,2,low,M,,2191,1
523,D, Ship,4,2,156,2,medium,M,5,4467,1
524,A, Road,3,2,124,5,medium,M,10,?,0
525,F, Ship,3,3,141,3,low,F,,4954,1
